variant,n,mean_gross,mean_net
as_labeled,1205,-0.02880486983062635,-0.0338925254322861
stop_at_-15pct,1205,-0.02880486983062635,0.006951051714113983
stop_at_-20pct,1205,-0.02880486983062635,-0.015829031273437887
stop_at_-18pct,1205,-0.02880486983062635,-0.006716998078417136
