dte_bucket,n,hit_tp,mean_net_return,lo95,hi95,mean_win,mean_loss
1-3,255,0.2784313725490196,-0.039987725901918104,-0.11404113491509461,0.0572482041418538,0.42271184106225257,-0.2880615901176482
4-7,441,0.16099773242630386,-0.04739256710931878,-0.07467310999267657,-0.01963744171591739,0.2584350170948727,-0.20344842343269043
8-14,509,0.137524557956778,-0.019142438007281052,-0.045886673091729065,0.013681586934248416,0.20908205330997504,-0.14400690134195
