outcome,status,features,n_train,n_test,split_date,oos_auc,oos_auc_lo95,oos_auc_hi95,baseline_auc,oos_base_rate,oos_top20pct_rate,oos_top20pct_delta_pp
y_tp,ok,"f_dte,f_vol_oi,f_ask_share,f_log_prem,f_logmoney,f_iv",448,309,2026-05-13,0.5268406961178045,0.45872208931419456,0.6127231596432943,0.5,0.1941747572815534,0.21311475409836064,1.8939996816807247
y_orion_pess,insufficient,,168,298,,,,,,,,
