model,features,auc,lo,hi,n_train,n_test,exp_all,exp_top_half
train-selected (incl f_dte),"f_dte,f_vol_oi,f_ask_share,f_trade_count,f_prior_flow_align",0.6734756097560977,0.5587608712839975,0.772326337650981,794,204,-0.006134559000679781,0.004613747041435547
"same, f_dte REMOVED","f_vol_oi,f_ask_share,f_trade_count,f_prior_flow_align",0.6539634146341463,0.5241783691588314,0.7605692132185999,794,204,-0.006134559000679781,-0.02496735310178823
f_dte ALONE,f_dte,0.6793436293436294,0.5743571136372996,0.7649484048399138,885,319,-0.011194220635871102,0.002260249231090098
f_vol_oi alone,f_vol_oi,0.6296519410977243,0.5094076291072454,0.7277066749004258,879,309,-0.0076467270665170756,0.016387118365125505
